"literaturzeitschrift_name","erstveroeffentlichung","publikationszyklus","auflagenhoehe"
"Abwärts","2014","3-4 mal pro Jahr","?"
"Akzente","1954","vierteljährlich","2000"
"Allmende – Zeitschrift für Literatur","1981","halbjährlich","2000"
"Am Erker","1977","halbjährlich","?"
"apostrophe","2020","halbjährlich","?"
"ausreißer - die Grazer Wandzeitung","2004","vier bis fünfmal jährlich","?"
"außer.dem","1999","jährlich","?"
"BELLA triste ","2001","dreimal jährlich","2.400"
"DAS GRAMM","2021","alle zwei Monate","?"
"Das Magazin","1924","monatlich","46000"
"Das Narr","2011","dreimal jährlich","?"
"Das WETTER","2013","viermal jährlich","6000"
"Delfi ","2023","halbjährlich","?"
"delirium – Zeitschrift gegen Literatur ","2013","halbjährlich","?"
"Der Schnipsel","2012","jährlich","?"
"Dichtungsring","1981","halbjährlich","?"
"Die Horen","1955","vierteljährlich","4000"
"Die Rampe","1975","viermal jährlich","?"
"dO!PEN","2000","unregelmäßig (anfangs dreimal pro Jahr, dann immer weniger, teils gar keine Ausgabe für mehrere Jahre) ","120"
"Drecksack - Lesbare Zeitschrift für Literatur","2010","vierteljährlich","?"
"DUM","1992","vierteljährlich","1000 (Stand: Jahr 2000)"
"Edit","1993","dreimal jährlich","2000"
"erostepost","1987","halbjährlich","500-800"
"etcetera","1999","vierteljährlich","?"
"Exodus Magazin","1975 (Pause von 1980-2003)","halbjährlich","?"
"Experimenta","2010","monatlich","?"
"Jenny: Denken, Glänzen, Text","2013","jährlich","?"
"Johnny ","2014","jährlich","?"
"kalmenzone","2013","halbjährlich","nur online"
"kassiber","2023","?","?"
"Kliteratur","2018","ein- bis zweimal jährlich","500"
"Kolik","1997","vierteljährlich","?"
"[kon]-paper","2015","jährlich","1000"
"Konzepte","1987","jährlich","800"
"Krachkultur","1993","jährlich","1000"
"Landpartie","2005","jährlich","?"
"Lettre International","1988","vierteljährlich","22000"
"Lichtungen","1979","vierteljährlich","1.100-1.400"
"Literarische Blätter","2019","monatlich","?"
"Literarisches Österreich","2007","zweimal jährlich","?"
"Literaturbote","1985","zweimal jährlich","?"
"Literatur in Bayern","1985","vierteljährlich","1000"
"Literatur und Kritik","1966","fünfmal jährlich","?"
"manuskripte","1960","vierteljährlich","?"
"Matrix","2005","vierteljährlich","?"
"MAULhURE (Magazin)","2010","wechselnd","?"
"metamorphosen","2013","vierteljährlich","?"
"miromente","2005","vierteljährlich","500 Abos"
"mosaik - Zeitschrift für Literatur und Kultur","2012","dreimal jährlich","1250"
"Neue Rundschau","1890","vierteljährlich","?"
"Oda - Ort der Augen","mind. 1999","vierteljährlich","?"
"Open Sewers","2022","zweimal jährlich","?"
"orte","1974","fünfmal jährlich","1000 Leserinnen und Leser"
"Perspektive","1979","vierteljährlich","1000"
"phantastisch!","2001","vierteljährlich","?"
"Podium","1971","halbjährlich in zwei Doppelnummern","?"
"Prozess*in","2021","jährlich","?"
"& Radieschen","2006","viermal jährlich","?"
"Risse","1998","halbjährlich","?"
"SALZ","1975","viermal jährlich","1100"
"Schliff","2014","zweimal jährlich","?"
"Schreibheft","1977","zweimal jährlich","?"
"schreibkraft","1998","zweimal jährlich","?"
"SCHREIBTISCH","2017","jährlich","?"
"[SIC]","2005","unregelmäßig etwa alle drei Jahre","?"
"Signum","1999","zweimal jährlich","?"
"Sinn und Form","1949","sechsmal jährlich","3000"
"Sprache im technischen Zeitalter (Spr.i.t.Z.)","1961","viermal jährlich","?"
"Streckenläufer","1990","etwa jährlich","?"
"Syltse","?","ein bis zweimal jährlich","250-500"
"Triedere","?","zweimal jährlich","?"
"VOLLTEXT","2002","viermal jährlich","15000"
"V: Vorarlberger Zeitschrift für Literatur","?","ein bis zweimal jährlich","?"
"Weisz auf Schwarz","2007","unregelmäßig","?"
"wespennest","1969","zweimal jährlich","5000 Mindestauflage"
"Words and Worlds","2016","halbjährlich","?"
"WORTSCHAU","2007","dreimal jährlich","?"
"zugetextet.com","2015","jährlich im Print ","?"
