"literaturzeitschrift_ausgabe_id","heftnummer","anzahl_ke_beitraege"
"H0","185","2"
"H2","186","2"
"H3","187","1"
"H4","188","1"
"H10","189","9"
"H11","190","8"
"H12","191","1"
"H13","192","3"
"H16","193","1"
"H17","194","1"
"H18","195","1"
"H19","196","2"
"H22","197","3"
"H23","198","1"
"H24","199","1"
"H25","200","2"
"H30","201","7"
"H31","202","2"
"H32","203","3"
"H36","205","2"
"H37","208","2"
"H40","209","5"
"H46","213","4"
"H47","214","2"
"H48","215","6"
"H53","217","10"
"H54","218","3"
"H59","221","2"
"H60","224","2"
"H65","226","1"
"H66","227","2"
"H72","229","3"
"H77","233","4"
"H78","236","2"
"H84","237","4"
"H85","238","2"
"H86","239","7"
"H87","240","1"
"H99","241","4"
"H100","242","1"
"H101","243","2"
"H114","245","7"
"H51","Sonderheft","1"
"H28","Sonderheft","3"
"H8","Sonderheft","2"
"H63","Sonderheft","2"
